message_len,total_time,throughput
89001,0.792458,2.142145
89101,0.795105,2.137412
89201,0.802023,2.121354
89301,0.835567,2.038476
89401,0.918151,1.857199
89501,0.903186,1.890083
89601,0.801467,2.132346
89701,0.813943,2.102005
89801,0.812740,2.107463
89901,0.794123,2.159270
90001,0.798330,2.150281
90101,0.845101,2.033534
90201,0.820573,2.096643
90301,1.025291,1.679871
90401,0.846850,2.036091
90501,0.824984,2.092369
90601,0.794375,2.175393
90701,0.815105,2.122408
90801,0.785884,2.203751
90901,0.872493,1.987180
91001,0.845376,2.053179
91101,0.890602,1.951056
91201,0.866731,2.006992
91301,0.856909,2.032222
91401,0.777191,2.243125
91501,0.777625,2.244327
91601,0.789052,2.214241
91701,0.752946,2.322954
91801,0.763000,2.294843
91901,0.799001,2.193832
92001,0.919324,1.908773
92101,0.820966,2.139781
92201,0.788830,2.229371
92301,0.829841,2.121493
92401,0.900827,1.956435
92501,1.698960,1.038469
92601,0.841234,2.099565
92701,0.772205,2.289718
92801,0.793487,2.230710
92901,0.779282,2.273820
93001,0.798102,2.222592
93101,0.803726,2.209413
93201,0.772116,2.302334
93301,0.809176,2.199245
93401,0.859897,2.071741
93501,0.842189,2.117567
93601,0.800453,2.230361
93701,0.809833,2.206882
93801,0.804378,2.224219
93901,0.809503,2.212493
94001,0.889136,2.016482
94101,0.809865,2.216214
94201,0.934990,1.921670
94301,0.836683,2.149740
94401,0.913146,1.971816
94501,0.835930,2.156239
94601,0.801323,2.251741
94701,0.842177,2.144775
94801,0.790112,2.288520
94901,0.794332,2.278763
95001,0.907593,1.996491
95101,1.003588,1.807423
95201,1.086924,1.670601
95301,0.899488,2.020842
95401,0.953731,1.907907
95501,0.947665,1.922132
95601,0.957643,1.904096
95701,1.247194,1.463568
95801,0.856987,2.132192
95901,0.910261,2.009497
96001,0.854200,2.143614
96101,0.845647,2.167551
96201,0.922698,1.988613
96301,0.870842,2.109219
96401,0.859617,2.138981
96501,0.873216,2.107854
96601,0.947819,1.943957
96701,0.941274,1.959500
96801,0.962885,1.917502
96901,0.877899,2.105301
97001,0.863745,2.142008
97101,0.967198,1.914866
97201,1.069784,1.733025
97301,0.885909,2.094877
97401,0.964055,1.927045
97501,0.999391,1.860817
97601,0.861635,2.160534
97701,0.815335,2.285562
97801,0.847301,2.201586
97901,0.884773,2.110502
98001,1.031983,1.811291
98101,0.930168,2.011604
98201,0.932987,2.007571
98301,0.882792,2.123879
98401,0.882849,2.125902
98501,0.896755,2.095063
98601,0.936302,2.008610
98701,0.923659,2.038169
98801,0.867211,2.173036
98901,0.941398,2.003816
99001,0.920090,2.052294
99101,1.299389,1.454686
99201,0.905759,2.088978
99301,1.194054,1.586207
99401,0.846081,2.240831
99501,0.828359,2.291073
99601,0.852052,2.229605
99701,0.892836,2.129894
99801,0.888870,2.141544
99901,0.853482,2.232573
